web-scraper-order,web-scraper-start-url,pic-src,name,price
"1629532510-2731","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/800811/1.jpg","Air Jordan 4 Retro 'Motorsports Alter…nate'","$294+"
"1629532497-2574","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/010174/1.jpg","Air Jordan 4 Retro+ 'Bling' 2000","$395+"
"1629532513-2740","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/248963/1.jpg","Air Jordan 4 Retro 'Lightning' 2021","$297+"
"1629532508-2704","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/278271/1.jpg","Eastside Golf x Air Jordan 4 Golf 'Be Y…ou'","$990+"
"1629532513-2743","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/178193/1.jpg","Air Jordan 4 Retro OG 'Fire Red' 2020","$285+"
"1629532499-2599","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/143927/1.jpg","Air Jordan 4 Retro 'Oklahoma Sooners'… PE","$5500+"
"1629532497-2587","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/011733/1.jpg","Air Jordan 4 Retro PS 2012","$185+"
"1629532503-2633","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/134714/1.jpg","Wmns Air Jordan 4 Retro 'Splatter'","$439+"
"1629532497-2559","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 4 MCS Cleats 'Oreo'","$200+"
"1629532505-2657","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/750/TEMPLATE/010428/1.jpg","Air Jordan 4 Retro 'Military Blue' 2006","$230+"
"1629532505-2649","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/750/TEMPLATE/801122/1.jpg","Air Jordan 4 Retro PS 'Pure Money'","$90+"
"1629532508-2686","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/270098/1.jpg","Air Jordan 4 Golf 'Masters Tourname…nt'","$199+"
"1629532510-2709","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/800490/1.jpg","Air Jordan 4 Retro 'Motorsports'","$349+"
"1629532492-2499","https://www.flightclub.com/air-jordans/air-jordan-4?page=9","https://cdn.flightclub.com/750/TEMPLATE/243837/1.jpg","Air Jordan 4 Retro 'Black Cat' Sample","Out of stock"
"1629532508-2691","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/272122/1.jpg","Air Jordan 4 Retro TD 'White Oreo'","$65+"
"1629532510-2736","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/179288/1.jpg","Air Jordan 4 Retro 'Orange Metallic'","$319+"
"1629532513-2754","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/146425/1.jpg","Air Jordan 4 Retro 'Cool Grey' 2019","$220+"
"1629532499-2607","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/171323/1.jpg","Air Jordan 4 Retro 'Michigan' PE","$3795+"
"1629532503-2627","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/012266/1.jpg","Air Jordan 11LAB4 'Red Patent Leather'","$350+"
"1629532490-2469","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/011361/1.jpg","Air Jordan Fusion 4 'Varsity Red'","Out of stock"
"1629532495-2542","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/750/TEMPLATE/010479/1.jpg","Jordan 4 Retro Td","$999+"
"1629532490-2495","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/010300/1.jpg","Air Jordan 4 BG","Out of stock"
"1629532513-2742","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/271154/1.jpg","Air Jordan 4 Retro GS 'White Oreo'","$180+"
"1629532499-2611","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/804168/1.jpg","Interscope Records x Air Jordan 4 Retr…o OG 'White Cement'","$2000+"
"1629532510-2735","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/011588/1.jpg","Air Jordan 4 Retro 'Military Blue' 2012","$475+"
"1629532510-2714","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/149495/1.jpg","Air Jordan 4 Retro SE 'Neon 95'","$265+"
"1629532492-2511","https://www.flightclub.com/air-jordans/air-jordan-4?page=9","https://cdn.flightclub.com/750/TEMPLATE/010326/1.jpg","Air Jordan 4 Retro GS 'White Chrome'","Out of stock"
"1629532505-2655","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 4 Golf 'Military Blue'","$1950+"
"1629532495-2552","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/placeholders/dash.png?w=360","Jordan 4 Retro TD","$105+"
"1629532503-2634","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/800265/1.jpg","Air Jordan 4 Retro GS 'Royalty'","$275+"
"1629532495-2547","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/750/TEMPLATE/802251/1.jpg","Air Jordan 4 Retro TD 'Motorsports Alter…nate'","$100+"
"1629532490-2481","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/228501/1.jpg","Air Jordan 4 TD 'Bred'","Out of stock"
"1629532490-2478","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/229437/1.jpg","Levi's x Air Jordan 4 Retro 'Black Denim' …Sample","Out of stock"
"1629532510-2710","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/251724/1.jpg","Wmns Air Jordan 4 Retro 'Shimmer'","$346+"
"1629532490-2484","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/010757/1.jpg","Jordan 4 Retro Ps","Out of stock"
"1629532495-2539","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 4 Retro TD 'Military Blue'","$140+"
"1629532510-2727","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/011540/1.jpg","Air Jordan 4 Retro 'Cement' 2012","$504+"
"1629532495-2548","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/750/TEMPLATE/011093/1.jpg","Air Jordan Fusion 4","$300+"
"1629532508-2702","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/245067/1.jpg","Paris Saint-Germain x Air Jordan 4 Retro …GS 'Bordeaux'","$211+"
"1629532508-2705","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/011654/1.jpg","Air Jordan 4 Retro GS 'Bred' 2012","$290+"
"1629532495-2551","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/750/TEMPLATE/011973/1.jpg","Jordan 4 Retro PS","$205+"
"1629532497-2564","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/802252/1.jpg","Air Jordan 4 Retro PS 'Royalty'","$200+"
"1629532508-2699","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/800836/1.jpg","Air Jordan 4 Retro BG 'Pure Money'","$290+"
"1629532505-2661","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/750/TEMPLATE/012224/1.jpg","Air Jordan 4 Retro 11Lab4 'Black Paten…t Leather'","$250+"
"1629532510-2734","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/150551/1.jpg","Air Jordan 4 Retro GS 'Cool Grey' 2019","$155+"
"1629532487-2464","https://www.flightclub.com/air-jordans/air-jordan-4?page=11","https://cdn.flightclub.com/750/TEMPLATE/010481/1.jpg","Jordan 4 Retro Td","Out of stock"
"1629532495-2555","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/750/TEMPLATE/149292/1.jpg","Travis Scott x Air Jordan 4 Retro 'Pur…ple Suede - White Midsole'","Out of stock"
"1629532492-2518","https://www.flightclub.com/air-jordans/air-jordan-4?page=9","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 4 Retro 'Toro Bravo' Sample","Out of stock"
"1629532497-2569","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/011827/1.jpg","Jordan 4 Retro PS 'Toro Bravo'","$160+"
"1629532513-2748","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/254034/1.jpg","Air Jordan 4 Retro 'Taupe Haze'","$310+"
"1629532490-2490","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/010451/1.jpg","Air Jordan 4 Retro Ps 'Mars Blackmon'","Out of stock"
"1629532505-2663","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/750/TEMPLATE/010027/1.jpg","Air Jordan 4 Retro+ 'Oreo' 1999","$480+"
"1629532508-2681","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/204033/1.jpg","Air Jordan 4 Golf 'White Cement'","$229+"
"1629532490-2483","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/011067/1.jpg","Air Jordan Fusion 4 Gs","Out of stock"
"1629532495-2554","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/750/TEMPLATE/011201/1.jpg","Air Jordan 4 Retro GS '25th Anniversary'","Out of stock"
"1629532510-2732","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/801093/1.jpg","Air Jordan 4 Retro GS 'Linen'","$550+"
